"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка: клик по логотипу Самоката возвращает на главную страницу","1151","Проверка перехода на главную страницу при клике на логотип Самоката","tests","2025-10-11","passed","2025-10-11","TestNavigation","test_navigation","",""
"Тест проверяет полный флоу создания заказа с разными данными","0","Проверка позитивного сценария заказа через точку входа: bottom","tests","2025-10-10","broken","2025-10-10","TestOrderFlow","test_order_flow","",""
"Тест проверяет открытие ответа при клике на вопрос","1541","Проверка раскрытия вопроса 7 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет полный флоу создания заказа с разными данными","7334","Проверка позитивного сценария заказа через точку входа: top","tests","2025-10-11","passed","2025-10-11","TestOrderFlow","test_order_flow","",""
"Тест проверяет полный флоу создания заказа с разными данными","8257","Проверка позитивного сценария заказа через точку входа: bottom","tests","2025-10-11","passed","2025-10-11","TestOrderFlow","test_order_flow","",""
"Тест проверяет открытие ответа при клике на вопрос","1519","Проверка раскрытия вопроса 4 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Проверка: клик по логотипу Яндекса открывает Дзен в новом окне","1515","Проверка открытия Дзена в новом окне при клике на логотип Яндекса","tests","2025-10-11","passed","2025-10-11","TestNavigation","test_navigation","",""
"Тест проверяет открытие ответа при клике на вопрос","1556","Проверка раскрытия вопроса 0 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет открытие ответа при клике на вопрос","1029","Проверка раскрытия вопроса 5 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет открытие ответа при клике на вопрос","1493","Проверка раскрытия вопроса 3 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет открытие ответа при клике на вопрос","1574","Проверка раскрытия вопроса 6 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет открытие ответа при клике на вопрос","1606","Проверка раскрытия вопроса 1 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет открытие ответа при клике на вопрос","1627","Проверка раскрытия вопроса 2 в разделе FAQ","tests","2025-10-11","passed","2025-10-11","TestFAQSection","test_faq_section","",""
"Тест проверяет полный флоу создания заказа с разными данными","0","Проверка позитивного сценария заказа через точку входа: top","tests","2025-10-10","broken","2025-10-10","TestOrderFlow","test_order_flow","",""
